location,datacenter_name,name,properties
{},openlab,CRAC1,{}
{},openlab,CRAC2,{}
{},openlab,CRAC3,{}
{},openlab,CRAC4,{}
{},openlab,CRAC5,{}
{},openlab,CRAC6,{}
{},openlab,CRAC7,{}
{},openlab,CRAC8,{}
{},openlab,CRAC9,{}
{},openlab,CRAC10,{}
{},openlab,CRAC11,{}
{},openlab,CRAC12,{}
{},openlab,CRAC13,{}
{},openlab,CRAC14,{}
{},openlab,CRAC15,{}
{},openlab,CRAC16,{}
{},openlab,CRAC17,{}
{},openlab,CRAC18,{}
{},openlab,CRAC19,{}
{},openlab,CRAC20,{}
{},openlab,CRAC21,{}
{},openlab,CRAC22,{}
{},openlab,CRAC23,{}
{},openlab,CRAC24,{}
{},openlab,CRAC25,{}
{},openlab,CRAC26,{}
{},openlab,CRAC27,{}
{},openlab,CRAC28,{}

